Medicine Name,Disease,Dosage Form,Classification,Prescription,Description,Injection,Price,Category,Age
Paracetamol,Acidity,Gel,Proton Pump Inhibitor,Required,Reduces fever,Yes,470.61,Over the Counter,Child
Omeprazole,Allergy,Cream,Analgesic,Not Required,Alleviates allergies,No,98.63,Prescription,Adult
Lisinopril,Asthma,Syrup,Antibiotic,Not Required,Used for pain relief,No,128.57,Controlled Substance,Child
Simvastatin,Diabetes,Tablet,Analgesic,Required,Lowers cholesterol,No,55.17,Controlled Substance,Child
Paracetamol,Allergy,Capsule,Antibiotic,Not Required,Used for pain relief,No,316.26,Over the Counter,Adult
Lisinopril,Cholesterol,Injection,Analgesic,Not Required,Controls blood pressure,Yes,478.39,Prescription,Child
Simvastatin,Pain,Syrup,Analgesic,Required,Reduces fever,Yes,144.19,Prescription,Child
Metformin,Cholesterol,Drops,Antihistamine,Not Required,Controls blood pressure,No,433.86,Over the Counter,Child
Metformin,Cholesterol,Injection,Antipyretic,Required,Used for pain relief,Yes,439.65,Prescription,Child
Metformin,Cholesterol,Drops,Analgesic,Not Required,Alleviates allergies,Yes,111.4,Prescription,Child
Paracetamol,Pain,Cream,Analgesic,Required,Reduces fever,No,304.97,Prescription,Child
Paracetamol,Cholesterol,Injection,Statin,Required,Lowers cholesterol,Yes,227.83,Over the Counter,Senior
Amoxicillin,Acidity,Injection,ACE inhibitor,Not Required,Reduces fever,Yes,265.04,Over the Counter,Senior
Ibuprofen,Diabetes,Gel,Antipyretic,Not Required,Used for pain relief,Yes,373.21,Controlled Substance,Adult
Paracetamol,Fever,Inhaler,Proton Pump Inhibitor,Required,Used for pain relief,Yes,451.59,Controlled Substance,Adult
Ibuprofen,Asthma,Inhaler,Proton Pump Inhibitor,Required,Controls blood pressure,No,241.42,Over the Counter,Senior
Metformin,Heart Disease,Inhaler,ACE inhibitor,Required,Lowers cholesterol,Yes,403.16,Controlled Substance,Child
Simvastatin,Fever,Cream,Antihistamine,Not Required,Alleviates allergies,Yes,400.27,Controlled Substance,Adult
Metformin,Asthma,Injection,ACE inhibitor,Required,Used for treating infections,Yes,447.59,Prescription,Senior
Amoxicillin,Cholesterol,Capsule,Statin,Required,Used for pain relief,Yes,484.09,Controlled Substance,Senior
Amoxicillin,Cholesterol,Injection,Statin,Required,Alleviates allergies,No,37.82,Controlled Substance,Senior
Metformin,Asthma,Syrup,Antihistamine,Not Required,Controls blood pressure,No,444.71,Controlled Substance,Adult
Cetirizine,Blood Pressure,Drops,Antipyretic,Required,Alleviates allergies,Yes,232.53,Controlled Substance,Child
Amoxicillin,Blood Pressure,Drops,ACE inhibitor,Required,Used for treating infections,No,85.44,Prescription,Child
Ibuprofen,Heart Disease,Drops,Statin,Required,Lowers cholesterol,Yes,58.1,Controlled Substance,Child
Metformin,Acidity,Cream,Analgesic,Not Required,Lowers cholesterol,No,218.52,Over the Counter,Adult
Simvastatin,Heart Disease,Injection,Statin,Not Required,Controls blood pressure,Yes,384.93,Controlled Substance,Senior
Amoxicillin,Diabetes,Capsule,Proton Pump Inhibitor,Not Required,Used for treating infections,Yes,20.06,Prescription,Senior
Lisinopril,Asthma,Gel,Statin,Not Required,Lowers cholesterol,No,311.08,Controlled Substance,Adult
Simvastatin,Blood Pressure,Drops,Analgesic,Not Required,Used for pain relief,No,154.7,Controlled Substance,Child
Cetirizine,Cholesterol,Capsule,Statin,Not Required,Controls blood pressure,Yes,150.25,Controlled Substance,Senior
Aspirin,Infection,Cream,Statin,Not Required,Alleviates allergies,No,182.12,Over the Counter,Adult
Atorvastatin,Heart Disease,Tablet,Antihistamine,Required,Controls blood pressure,Yes,238.45,Prescription,Adult
Paracetamol,Cholesterol,Capsule,Antihistamine,Required,Used for pain relief,Yes,395.85,Prescription,Senior
Metformin,Pain,Tablet,Analgesic,Not Required,Used for treating infections,No,389.67,Controlled Substance,Child
Metformin,Blood Pressure,Injection,Statin,Required,Reduces fever,Yes,327.5,Controlled Substance,Senior
Paracetamol,Pain,Drops,Antibiotic,Not Required,Used for treating infections,Yes,301.98,Prescription,Adult
Cetirizine,Infection,Tablet,Antipyretic,Required,Lowers cholesterol,No,12.19,Prescription,Child
Paracetamol,Blood Pressure,Drops,Antipyretic,Required,Alleviates allergies,No,239.75,Controlled Substance,Senior
Cetirizine,Infection,Inhaler,Analgesic,Required,Used for pain relief,Yes,120.65,Prescription,Adult
Aspirin,Blood Pressure,Inhaler,Statin,Not Required,Controls blood pressure,No,325.11,Prescription,Adult
Aspirin,Heart Disease,Cream,Antihistamine,Not Required,Lowers cholesterol,Yes,161.72,Prescription,Senior
Omeprazole,Pain,Tablet,Antipyretic,Required,Reduces fever,Yes,488.22,Over the Counter,Adult
Metformin,Infection,Gel,Antipyretic,Not Required,Reduces fever,No,174.43,Prescription,Child
Metformin,Pain,Gel,Proton Pump Inhibitor,Required,Lowers cholesterol,No,308.8,Over the Counter,Senior
Ibuprofen,Heart Disease,Gel,Antihistamine,Required,Reduces fever,No,370.11,Controlled Substance,Senior
Ibuprofen,Asthma,Tablet,Antipyretic,Required,Used for treating infections,Yes,227.47,Prescription,Senior
Omeprazole,Cholesterol,Injection,Proton Pump Inhibitor,Required,Lowers cholesterol,Yes,452.88,Over the Counter,Senior
Paracetamol,Heart Disease,Drops,Proton Pump Inhibitor,Not Required,Alleviates allergies,Yes,208.72,Prescription,Child
Amoxicillin,Fever,Inhaler,Analgesic,Not Required,Reduces fever,Yes,69.17,Controlled Substance,Senior
Lisinopril,Acidity,Cream,Analgesic,Required,Lowers cholesterol,Yes,91.93,Controlled Substance,Senior
Ibuprofen,Pain,Injection,Analgesic,Required,Lowers cholesterol,No,488.91,Over the Counter,Child
Simvastatin,Cholesterol,Gel,ACE inhibitor,Not Required,Lowers cholesterol,Yes,340.65,Prescription,Child
Cetirizine,Infection,Cream,Analgesic,Not Required,Used for pain relief,Yes,326.56,Controlled Substance,Senior
Omeprazole,Infection,Drops,Antipyretic,Not Required,Controls blood pressure,Yes,200.6,Over the Counter,Adult
Amoxicillin,Infection,Gel,Antibiotic,Not Required,Used for treating infections,No,16.59,Prescription,Child
Metformin,Asthma,Injection,ACE inhibitor,Not Required,Used for treating infections,No,291.91,Prescription,Senior
Atorvastatin,Blood Pressure,Cream,Analgesic,Required,Used for treating infections,No,448.77,Over the Counter,Child
Aspirin,Infection,Capsule,Antihistamine,Not Required,Controls blood pressure,No,57.99,Prescription,Senior
Simvastatin,Asthma,Capsule,Statin,Not Required,Lowers cholesterol,No,133.69,Over the Counter,Adult
Ibuprofen,Diabetes,Drops,ACE inhibitor,Not Required,Used for treating infections,No,248.79,Prescription,Adult
Lisinopril,Cholesterol,Capsule,ACE inhibitor,Not Required,Lowers cholesterol,Yes,66.16,Prescription,Senior
Lisinopril,Infection,Gel,Proton Pump Inhibitor,Required,Lowers cholesterol,No,479.51,Over the Counter,Senior
Amoxicillin,Diabetes,Injection,Analgesic,Not Required,Used for pain relief,Yes,430.95,Over the Counter,Senior
Cetirizine,Cholesterol,Capsule,Antipyretic,Not Required,Controls blood pressure,Yes,299.99,Over the Counter,Adult
Simvastatin,Cholesterol,Cream,Analgesic,Required,Reduces fever,Yes,222.22,Over the Counter,Senior
Amoxicillin,Diabetes,Inhaler,Antihistamine,Not Required,Controls blood pressure,No,172.02,Controlled Substance,Child
Ibuprofen,Cholesterol,Syrup,Antibiotic,Required,Alleviates allergies,Yes,277.55,Controlled Substance,Adult
Paracetamol,Allergy,Inhaler,Proton Pump Inhibitor,Not Required,Used for pain relief,No,455.91,Over the Counter,Senior
Atorvastatin,Allergy,Inhaler,Proton Pump Inhibitor,Required,Used for pain relief,Yes,464.24,Controlled Substance,Senior
Simvastatin,Allergy,Inhaler,Statin,Required,Reduces fever,No,128.76,Controlled Substance,Senior
Lisinopril,Diabetes,Cream,Analgesic,Required,Used for pain relief,Yes,344.97,Controlled Substance,Child
Ibuprofen,Cholesterol,Drops,Antipyretic,Required,Controls blood pressure,No,419.61,Controlled Substance,Senior
Paracetamol,Asthma,Syrup,ACE inhibitor,Not Required,Used for treating infections,Yes,265.09,Over the Counter,Child
Aspirin,Cholesterol,Capsule,ACE inhibitor,Required,Lowers cholesterol,Yes,128.33,Prescription,Adult
Ibuprofen,Diabetes,Injection,Proton Pump Inhibitor,Not Required,Lowers cholesterol,No,224.09,Prescription,Senior
Metformin,Acidity,Syrup,Analgesic,Required,Controls blood pressure,Yes,209.64,Prescription,Senior
Simvastatin,Acidity,Syrup,Analgesic,Not Required,Lowers cholesterol,No,64.84,Controlled Substance,Senior
Metformin,Fever,Capsule,Antihistamine,Not Required,Alleviates allergies,Yes,45.43,Over the Counter,Adult
Metformin,Asthma,Injection,ACE inhibitor,Not Required,Used for treating infections,Yes,146.06,Over the Counter,Adult
Omeprazole,Asthma,Cream,ACE inhibitor,Required,Controls blood pressure,Yes,247.86,Controlled Substance,Senior
Aspirin,Fever,Injection,Statin,Required,Used for pain relief,No,89.73,Controlled Substance,Adult
Atorvastatin,Asthma,Drops,Antihistamine,Not Required,Lowers cholesterol,No,331.43,Over the Counter,Child
Amoxicillin,Infection,Syrup,Antihistamine,Not Required,Reduces fever,Yes,46.27,Over the Counter,Senior
Atorvastatin,Heart Disease,Injection,Antihistamine,Required,Reduces fever,Yes,174.85,Over the Counter,Child
Metformin,Infection,Gel,Analgesic,Not Required,Used for pain relief,No,380.51,Over the Counter,Child
Cetirizine,Acidity,Capsule,Antibiotic,Not Required,Used for pain relief,No,316.04,Over the Counter,Adult
Cetirizine,Infection,Cream,Statin,Required,Reduces fever,No,485.87,Prescription,Child
Cetirizine,Acidity,Gel,Statin,Required,Controls blood pressure,Yes,219.1,Prescription,Senior
Paracetamol,Heart Disease,Tablet,Antibiotic,Required,Alleviates allergies,No,202.16,Controlled Substance,Senior
Amoxicillin,Asthma,Cream,Antipyretic,Required,Used for treating infections,Yes,348.16,Controlled Substance,Child
Paracetamol,Infection,Injection,Antipyretic,Not Required,Used for treating infections,No,26.34,Over the Counter,Adult
Simvastatin,Pain,Drops,Antipyretic,Required,Used for treating infections,Yes,208.98,Prescription,Senior
Lisinopril,Cholesterol,Injection,Analgesic,Not Required,Alleviates allergies,Yes,109.45,Prescription,Child
Aspirin,Allergy,Syrup,Antihistamine,Not Required,Used for treating infections,Yes,491.02,Prescription,Adult
Lisinopril,Infection,Gel,Proton Pump Inhibitor,Not Required,Alleviates allergies,Yes,358.43,Controlled Substance,Adult
Omeprazole,Diabetes,Inhaler,Antihistamine,Required,Lowers cholesterol,Yes,31.45,Over the Counter,Adult
Ibuprofen,Blood Pressure,Drops,Statin,Not Required,Used for pain relief,No,395.55,Controlled Substance,Child
Cetirizine,Heart Disease,Cream,ACE inhibitor,Required,Controls blood pressure,Yes,467.09,Controlled Substance,Child
Simvastatin,Heart Disease,Capsule,Antibiotic,Required,Used for treating infections,Yes,198.08,Controlled Substance,Child
Amoxicillin,Acidity,Drops,Analgesic,Not Required,Used for treating infections,No,234.69,Prescription,Child
Cetirizine,Pain,Gel,Statin,Required,Used for pain relief,No,225.72,Over the Counter,Adult
Paracetamol,Infection,Injection,Analgesic,Required,Lowers cholesterol,No,199.65,Controlled Substance,Adult
Aspirin,Cholesterol,Inhaler,ACE inhibitor,Not Required,Used for treating infections,Yes,193.92,Prescription,Adult
Omeprazole,Pain,Inhaler,Proton Pump Inhibitor,Not Required,Used for treating infections,Yes,33.55,Prescription,Adult
Metformin,Asthma,Syrup,Antipyretic,Not Required,Controls blood pressure,No,155.26,Over the Counter,Senior
Amoxicillin,Diabetes,Drops,Statin,Required,Lowers cholesterol,No,46.77,Over the Counter,Senior
Omeprazole,Allergy,Injection,ACE inhibitor,Required,Lowers cholesterol,Yes,287.71,Prescription,Senior
Amoxicillin,Acidity,Injection,Antibiotic,Not Required,Controls blood pressure,Yes,361.68,Prescription,Adult
Cetirizine,Cholesterol,Capsule,Proton Pump Inhibitor,Not Required,Reduces fever,Yes,266.28,Controlled Substance,Child
Omeprazole,Blood Pressure,Syrup,Analgesic,Required,Reduces fever,Yes,432.41,Controlled Substance,Child
Metformin,Cholesterol,Tablet,Proton Pump Inhibitor,Required,Alleviates allergies,No,271.29,Over the Counter,Child
Atorvastatin,Allergy,Syrup,ACE inhibitor,Required,Reduces fever,No,8.25,Controlled Substance,Senior
Atorvastatin,Allergy,Injection,Antihistamine,Not Required,Alleviates allergies,No,20.12,Over the Counter,Adult
Cetirizine,Infection,Injection,Analgesic,Required,Reduces fever,No,408.7,Controlled Substance,Adult
Ibuprofen,Diabetes,Gel,Statin,Required,Controls blood pressure,No,300.57,Controlled Substance,Adult
Metformin,Allergy,Capsule,Statin,Not Required,Controls blood pressure,Yes,386.94,Controlled Substance,Senior
Atorvastatin,Pain,Syrup,Antihistamine,Required,Used for treating infections,Yes,249.92,Controlled Substance,Senior
Cetirizine,Diabetes,Tablet,Statin,Not Required,Reduces fever,Yes,393.31,Prescription,Child
Ibuprofen,Acidity,Injection,Statin,Not Required,Lowers cholesterol,No,230.18,Controlled Substance,Child
Metformin,Infection,Drops,Antihistamine,Required,Used for treating infections,No,75.84,Prescription,Senior
Paracetamol,Pain,Tablet,ACE inhibitor,Not Required,Alleviates allergies,Yes,273.28,Prescription,Senior
Atorvastatin,Fever,Drops,Proton Pump Inhibitor,Not Required,Controls blood pressure,Yes,353.36,Prescription,Senior
Metformin,Allergy,Syrup,Antihistamine,Not Required,Used for treating infections,No,421.58,Prescription,Senior
Amoxicillin,Cholesterol,Injection,Analgesic,Not Required,Reduces fever,No,240.32,Prescription,Child
Amoxicillin,Allergy,Inhaler,Antihistamine,Required,Lowers cholesterol,Yes,450.19,Prescription,Senior
Cetirizine,Cholesterol,Cream,Antibiotic,Not Required,Controls blood pressure,No,467.56,Prescription,Child
Simvastatin,Infection,Capsule,Statin,Required,Controls blood pressure,Yes,312.29,Controlled Substance,Senior
Cetirizine,Pain,Tablet,Analgesic,Required,Reduces fever,Yes,74.86,Prescription,Child
Metformin,Infection,Cream,Proton Pump Inhibitor,Required,Controls blood pressure,No,414.22,Controlled Substance,Senior
Ibuprofen,Pain,Injection,Antihistamine,Required,Lowers cholesterol,No,75.13,Controlled Substance,Child
Amoxicillin,Heart Disease,Drops,Antihistamine,Not Required,Alleviates allergies,Yes,425.99,Controlled Substance,Adult
Ibuprofen,Fever,Drops,Statin,Required,Lowers cholesterol,No,420.55,Controlled Substance,Adult
Metformin,Acidity,Tablet,Antipyretic,Not Required,Alleviates allergies,No,297.84,Prescription,Senior
Metformin,Blood Pressure,Drops,Antihistamine,Required,Controls blood pressure,Yes,480.97,Prescription,Senior
Cetirizine,Fever,Gel,Antihistamine,Not Required,Reduces fever,No,338.18,Controlled Substance,Senior
Ibuprofen,Allergy,Inhaler,Antihistamine,Not Required,Alleviates allergies,No,153.35,Over the Counter,Adult
Ibuprofen,Heart Disease,Drops,ACE inhibitor,Required,Lowers cholesterol,Yes,272.69,Over the Counter,Senior
Atorvastatin,Acidity,Gel,Proton Pump Inhibitor,Not Required,Alleviates allergies,No,305.63,Controlled Substance,Child
Ibuprofen,Acidity,Cream,ACE inhibitor,Required,Used for treating infections,Yes,260.51,Prescription,Senior
Atorvastatin,Allergy,Inhaler,Antibiotic,Required,Used for pain relief,No,481.89,Over the Counter,Adult
Paracetamol,Acidity,Cream,Proton Pump Inhibitor,Required,Used for pain relief,No,311.89,Over the Counter,Senior
Lisinopril,Acidity,Drops,ACE inhibitor,Required,Lowers cholesterol,No,111.5,Controlled Substance,Senior
Simvastatin,Diabetes,Capsule,Antibiotic,Required,Controls blood pressure,No,461.48,Prescription,Senior
Metformin,Heart Disease,Cream,ACE inhibitor,Required,Used for pain relief,Yes,21.51,Prescription,Child
Metformin,Fever,Cream,ACE inhibitor,Not Required,Used for treating infections,Yes,79.79,Over the Counter,Senior
Ibuprofen,Diabetes,Injection,Antibiotic,Required,Alleviates allergies,Yes,183.79,Over the Counter,Senior
Atorvastatin,Fever,Syrup,Statin,Not Required,Alleviates allergies,Yes,16.54,Over the Counter,Senior
Lisinopril,Blood Pressure,Cream,ACE inhibitor,Not Required,Used for treating infections,Yes,125.59,Controlled Substance,Child
Paracetamol,Diabetes,Inhaler,ACE inhibitor,Required,Used for treating infections,No,459.19,Prescription,Adult
Amoxicillin,Asthma,Cream,Proton Pump Inhibitor,Required,Controls blood pressure,Yes,306.43,Prescription,Senior
Amoxicillin,Cholesterol,Tablet,Statin,Required,Controls blood pressure,No,307.43,Prescription,Adult
Ibuprofen,Diabetes,Cream,Analgesic,Required,Controls blood pressure,Yes,156.82,Over the Counter,Child
Atorvastatin,Infection,Injection,Antipyretic,Required,Reduces fever,No,362.06,Over the Counter,Senior
Paracetamol,Allergy,Tablet,Proton Pump Inhibitor,Required,Controls blood pressure,Yes,433.77,Over the Counter,Senior
Amoxicillin,Cholesterol,Inhaler,Statin,Not Required,Controls blood pressure,No,334.71,Over the Counter,Adult
Atorvastatin,Acidity,Gel,Antibiotic,Not Required,Lowers cholesterol,Yes,333.84,Over the Counter,Senior
Cetirizine,Allergy,Cream,Statin,Required,Used for pain relief,No,483.68,Controlled Substance,Adult
Lisinopril,Acidity,Gel,Antihistamine,Not Required,Alleviates allergies,No,396.86,Controlled Substance,Adult
Omeprazole,Fever,Tablet,Statin,Required,Reduces fever,Yes,98.16,Over the Counter,Senior
Aspirin,Diabetes,Injection,Statin,Not Required,Alleviates allergies,Yes,56.27,Over the Counter,Adult
Cetirizine,Acidity,Inhaler,Antihistamine,Not Required,Lowers cholesterol,Yes,366.83,Controlled Substance,Senior
Lisinopril,Infection,Injection,ACE inhibitor,Not Required,Used for pain relief,No,425.71,Controlled Substance,Senior
Paracetamol,Fever,Drops,ACE inhibitor,Not Required,Controls blood pressure,Yes,120.98,Prescription,Senior
Ibuprofen,Asthma,Syrup,Antihistamine,Not Required,Reduces fever,Yes,369.58,Over the Counter,Senior
Omeprazole,Allergy,Gel,Statin,Not Required,Reduces fever,No,119.42,Prescription,Senior
Lisinopril,Infection,Drops,Antihistamine,Not Required,Reduces fever,No,50.98,Prescription,Senior
Omeprazole,Acidity,Inhaler,Statin,Not Required,Lowers cholesterol,No,146.32,Controlled Substance,Senior
Lisinopril,Diabetes,Capsule,Antipyretic,Required,Used for treating infections,Yes,216.88,Controlled Substance,Child
Cetirizine,Infection,Tablet,ACE inhibitor,Not Required,Used for pain relief,No,493.41,Over the Counter,Child
Omeprazole,Pain,Capsule,Antibiotic,Not Required,Reduces fever,Yes,229.34,Prescription,Senior
Aspirin,Diabetes,Tablet,ACE inhibitor,Not Required,Controls blood pressure,Yes,108.51,Over the Counter,Adult
Cetirizine,Fever,Inhaler,Antihistamine,Not Required,Lowers cholesterol,Yes,250.16,Over the Counter,Senior
Aspirin,Fever,Injection,ACE inhibitor,Not Required,Controls blood pressure,Yes,281.45,Prescription,Child
Simvastatin,Blood Pressure,Injection,Proton Pump Inhibitor,Required,Reduces fever,No,221.0,Over the Counter,Child
Paracetamol,Heart Disease,Capsule,Antihistamine,Required,Lowers cholesterol,No,350.38,Controlled Substance,Adult
Ibuprofen,Cholesterol,Gel,ACE inhibitor,Required,Alleviates allergies,Yes,67.41,Prescription,Senior
Metformin,Cholesterol,Syrup,Antibiotic,Required,Used for pain relief,Yes,103.36,Over the Counter,Child
Aspirin,Cholesterol,Capsule,Statin,Required,Used for pain relief,Yes,379.31,Prescription,Adult
Cetirizine,Diabetes,Gel,ACE inhibitor,Not Required,Used for pain relief,No,194.83,Over the Counter,Child
Ibuprofen,Infection,Capsule,Proton Pump Inhibitor,Not Required,Used for pain relief,No,62.24,Controlled Substance,Child
Omeprazole,Fever,Capsule,Antipyretic,Required,Used for pain relief,Yes,317.35,Prescription,Adult
Paracetamol,Cholesterol,Syrup,Analgesic,Required,Used for pain relief,Yes,432.82,Over the Counter,Senior
Paracetamol,Cholesterol,Inhaler,Antibiotic,Not Required,Reduces fever,No,203.34,Controlled Substance,Senior
Aspirin,Pain,Cream,Antipyretic,Not Required,Alleviates allergies,Yes,246.96,Controlled Substance,Child
Amoxicillin,Blood Pressure,Cream,ACE inhibitor,Not Required,Lowers cholesterol,Yes,308.95,Over the Counter,Senior
Ibuprofen,Acidity,Injection,ACE inhibitor,Required,Used for treating infections,Yes,337.13,Controlled Substance,Senior
Amoxicillin,Pain,Gel,Antihistamine,Required,Alleviates allergies,No,275.27,Controlled Substance,Child
Atorvastatin,Cholesterol,Gel,Analgesic,Required,Alleviates allergies,Yes,289.07,Prescription,Senior
Omeprazole,Fever,Capsule,ACE inhibitor,Not Required,Reduces fever,Yes,94.22,Over the Counter,Child
Amoxicillin,Blood Pressure,Syrup,Antihistamine,Required,Controls blood pressure,No,327.05,Controlled Substance,Adult
Ibuprofen,Diabetes,Injection,Antipyretic,Not Required,Used for pain relief,No,120.9,Prescription,Child
Omeprazole,Heart Disease,Capsule,Antibiotic,Not Required,Alleviates allergies,Yes,132.94,Controlled Substance,Senior
Amoxicillin,Asthma,Capsule,Analgesic,Required,Alleviates allergies,No,98.13,Prescription,Child
Simvastatin,Diabetes,Inhaler,Statin,Required,Lowers cholesterol,No,310.86,Controlled Substance,Senior
Atorvastatin,Diabetes,Inhaler,Antihistamine,Required,Alleviates allergies,Yes,296.47,Prescription,Senior
Omeprazole,Cholesterol,Gel,ACE inhibitor,Not Required,Alleviates allergies,Yes,31.58,Over the Counter,Child
Ibuprofen,Blood Pressure,Injection,Analgesic,Not Required,Lowers cholesterol,Yes,395.62,Prescription,Child
Amoxicillin,Diabetes,Injection,Analgesic,Required,Used for treating infections,Yes,365.2,Controlled Substance,Adult
Amoxicillin,Infection,Capsule,ACE inhibitor,Not Required,Used for treating infections,No,481.51,Prescription,Child
Paracetamol,Fever,Gel,Antipyretic,Not Required,Controls blood pressure,No,384.98,Prescription,Child
Omeprazole,Asthma,Drops,Proton Pump Inhibitor,Not Required,Reduces fever,No,312.28,Controlled Substance,Senior
Atorvastatin,Pain,Inhaler,Antibiotic,Required,Controls blood pressure,No,423.51,Controlled Substance,Senior
Ibuprofen,Blood Pressure,Gel,ACE inhibitor,Required,Used for pain relief,No,236.46,Over the Counter,Adult
Cetirizine,Infection,Drops,Statin,Required,Lowers cholesterol,No,210.18,Over the Counter,Child
Paracetamol,Cholesterol,Tablet,ACE inhibitor,Not Required,Used for pain relief,Yes,314.56,Prescription,Child
Amoxicillin,Asthma,Syrup,Analgesic,Required,Used for pain relief,No,463.32,Controlled Substance,Child
Atorvastatin,Blood Pressure,Injection,Statin,Required,Reduces fever,Yes,120.46,Prescription,Senior
Simvastatin,Diabetes,Capsule,ACE inhibitor,Not Required,Used for treating infections,Yes,15.26,Prescription,Senior
Omeprazole,Cholesterol,Drops,Proton Pump Inhibitor,Not Required,Used for pain relief,No,405.11,Prescription,Adult
Atorvastatin,Pain,Capsule,Statin,Required,Used for treating infections,Yes,95.26,Over the Counter,Adult
Metformin,Infection,Gel,Statin,Not Required,Alleviates allergies,Yes,31.45,Over the Counter,Adult
Metformin,Asthma,Injection,Antibiotic,Not Required,Used for treating infections,No,97.59,Controlled Substance,Adult
Lisinopril,Cholesterol,Gel,Statin,Required,Used for treating infections,Yes,415.58,Over the Counter,Senior
Ibuprofen,Pain,Tablet,Analgesic,Required,Used for pain relief,Yes,47.85,Controlled Substance,Adult
Lisinopril,Diabetes,Drops,Antihistamine,Required,Used for treating infections,No,473.94,Controlled Substance,Adult
Simvastatin,Cholesterol,Capsule,ACE inhibitor,Required,Controls blood pressure,Yes,412.55,Controlled Substance,Adult
Cetirizine,Infection,Injection,Antipyretic,Required,Controls blood pressure,Yes,411.95,Controlled Substance,Child
Metformin,Acidity,Capsule,ACE inhibitor,Required,Reduces fever,No,401.35,Prescription,Child
Paracetamol,Fever,Gel,Analgesic,Required,Alleviates allergies,Yes,93.9,Over the Counter,Senior
Atorvastatin,Fever,Gel,Statin,Not Required,Used for treating infections,No,398.51,Controlled Substance,Senior
Ibuprofen,Diabetes,Gel,Antihistamine,Required,Reduces fever,No,404.0,Prescription,Senior
Lisinopril,Infection,Tablet,ACE inhibitor,Not Required,Alleviates allergies,Yes,358.66,Controlled Substance,Senior
Metformin,Acidity,Cream,Antibiotic,Required,Reduces fever,Yes,152.84,Over the Counter,Adult
Omeprazole,Asthma,Tablet,ACE inhibitor,Not Required,Lowers cholesterol,No,445.59,Prescription,Child
Metformin,Diabetes,Inhaler,Antibiotic,Not Required,Used for pain relief,Yes,12.29,Over the Counter,Adult
Metformin,Asthma,Gel,Antihistamine,Required,Used for treating infections,No,457.18,Prescription,Adult
Metformin,Cholesterol,Inhaler,Proton Pump Inhibitor,Required,Alleviates allergies,No,319.08,Prescription,Senior
Atorvastatin,Allergy,Tablet,Antihistamine,Required,Lowers cholesterol,No,381.58,Over the Counter,Adult
Metformin,Asthma,Drops,Antibiotic,Not Required,Used for pain relief,No,175.88,Prescription,Adult
Aspirin,Infection,Gel,Statin,Required,Controls blood pressure,Yes,65.62,Prescription,Child
Amoxicillin,Infection,Injection,Analgesic,Not Required,Controls blood pressure,No,201.29,Controlled Substance,Adult
Paracetamol,Infection,Gel,ACE inhibitor,Required,Used for treating infections,No,316.46,Controlled Substance,Senior
Amoxicillin,Acidity,Cream,Antipyretic,Not Required,Alleviates allergies,Yes,93.55,Controlled Substance,Senior
Simvastatin,Allergy,Capsule,Analgesic,Required,Alleviates allergies,No,374.52,Over the Counter,Adult
Amoxicillin,Infection,Inhaler,Antipyretic,Required,Used for treating infections,No,278.01,Prescription,Child
Ibuprofen,Asthma,Capsule,Analgesic,Not Required,Used for pain relief,Yes,415.14,Prescription,Adult
Metformin,Infection,Injection,Antibiotic,Required,Alleviates allergies,No,133.64,Controlled Substance,Child
Atorvastatin,Heart Disease,Cream,Proton Pump Inhibitor,Required,Used for treating infections,Yes,437.76,Controlled Substance,Child
Aspirin,Fever,Drops,Antihistamine,Required,Used for pain relief,Yes,109.12,Over the Counter,Senior
Atorvastatin,Asthma,Inhaler,Antibiotic,Required,Lowers cholesterol,Yes,215.66,Over the Counter,Senior
Lisinopril,Fever,Gel,ACE inhibitor,Required,Alleviates allergies,No,53.1,Over the Counter,Child
Simvastatin,Cholesterol,Capsule,Statin,Not Required,Lowers cholesterol,No,66.79,Over the Counter,Adult
Amoxicillin,Acidity,Gel,Proton Pump Inhibitor,Not Required,Controls blood pressure,No,142.57,Prescription,Adult
Aspirin,Asthma,Cream,Antipyretic,Required,Used for treating infections,No,426.67,Controlled Substance,Senior
Aspirin,Cholesterol,Syrup,Antihistamine,Required,Controls blood pressure,No,271.48,Over the Counter,Adult
Metformin,Diabetes,Inhaler,Antipyretic,Not Required,Used for treating infections,Yes,326.38,Over the Counter,Child
Lisinopril,Allergy,Gel,Analgesic,Not Required,Reduces fever,No,480.15,Controlled Substance,Adult
Amoxicillin,Fever,Gel,Antibiotic,Not Required,Used for pain relief,Yes,484.29,Over the Counter,Senior
Lisinopril,Infection,Drops,Antipyretic,Required,Alleviates allergies,No,454.08,Over the Counter,Child
Metformin,Blood Pressure,Capsule,Statin,Not Required,Reduces fever,Yes,174.42,Over the Counter,Child
Paracetamol,Fever,Tablet,Statin,Required,Controls blood pressure,No,326.02,Controlled Substance,Senior
Paracetamol,Diabetes,Syrup,ACE inhibitor,Not Required,Alleviates allergies,Yes,31.49,Over the Counter,Child
Aspirin,Fever,Injection,Antihistamine,Required,Controls blood pressure,No,443.56,Prescription,Senior
Metformin,Acidity,Cream,Antibiotic,Not Required,Used for treating infections,Yes,218.97,Controlled Substance,Child
Atorvastatin,Asthma,Cream,Antibiotic,Required,Controls blood pressure,No,98.02,Over the Counter,Child
Cetirizine,Blood Pressure,Drops,Statin,Required,Alleviates allergies,Yes,122.43,Controlled Substance,Adult
